number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,state
0,0.06904369033873081,2023-05-02 17:16:57.583536,2023-05-02 17:21:21.652412,0 days 00:04:24.068876,0.007466324088845748,unet,minmax,51,logcosh,COMPLETE
1,0.046830229461193085,2023-05-02 17:21:21.844797,2023-05-02 17:23:58.090218,0 days 00:02:36.245421,9.745282874167088e-05,unet,minmax,29,xtanh,COMPLETE
2,0.7179318219423294,2023-05-02 17:23:58.259118,2023-05-02 17:26:27.234818,0 days 00:02:28.975700,3.482694840072424e-05,unet,zscore,38,huber,COMPLETE
3,0.669959306716919,2023-05-02 17:26:27.314904,2023-05-02 17:28:53.458169,0 days 00:02:26.143265,0.00015054940948797604,unet,zscore,51,mse,COMPLETE
4,0.14763697236776352,2023-05-02 17:28:53.550016,2023-05-02 17:31:17.242795,0 days 00:02:23.692779,1.4939668329809957e-05,unet,minmax,50,logcosh,COMPLETE
5,0.03857158683240414,2023-05-02 17:31:17.369548,2023-05-02 17:33:44.772499,0 days 00:02:27.402951,0.00197454161328748,unet,minmax,28,mae,COMPLETE
6,0.6348887532949448,2023-05-02 17:33:45.282639,2023-05-02 17:36:14.898322,0 days 00:02:29.615683,0.00018146594661987289,unet,zscore,19,logcosh,COMPLETE
7,0.6434588357806206,2023-05-02 17:36:15.086687,2023-05-02 17:38:47.968589,0 days 00:02:32.881902,0.00011889257919968194,unet,zscore,19,xsigmoid,COMPLETE
8,0.7141317501664162,2023-05-02 17:38:48.176990,2023-05-02 17:41:17.337738,0 days 00:02:29.160748,2.3178988625614025e-05,unet,zscore,23,logcosh,COMPLETE
9,0.6259762644767761,2023-05-02 17:41:17.739798,2023-05-02 17:43:46.470610,0 days 00:02:28.730812,0.002997354626539196,unet,zscore,41,xsigmoid,COMPLETE
